,Weekday,Method of Travel,Sustainable?,Number of Trips,Trips per Day,% of Trips per Day
0,M,Car,Non-Sustainable,422,1000,0.42
1,M,Bicycle,Sustainable,210,1000,0.21
2,M,Scooter,Sustainable,84,1000,0.08
3,M,Walk,Sustainable,154,1000,0.15
4,M,Aeroplane,Non-Sustainable,9,1000,0.01
5,M,Helicopter,Non-Sustainable,72,1000,0.07
6,M,Van,Non-Sustainable,37,1000,0.04
7,M,Mum's Shoulders,Sustainable,9,1000,0.01
8,M,Hopped,Sustainable,3,1000,0.0
9,Tu,Car,Non-Sustainable,364,1000,0.36
10,Tu,Bicycle,Sustainable,220,1000,0.22
11,Tu,Scooter,Sustainable,84,1000,0.08
12,Tu,Walk,Sustainable,259,1000,0.26
13,Tu,Aeroplane,Non-Sustainable,9,1000,0.01
14,Tu,Van,Non-Sustainable,46,1000,0.05
15,Tu,Dad's Shoulders,Sustainable,15,1000,0.02
16,Tu,Skipped,Sustainable,3,1000,0.0
17,W,Car,Non-Sustainable,413,1000,0.41
18,W,Bicycle,Sustainable,207,1000,0.21
19,W,Scooter,Sustainable,168,1000,0.17
20,W,Walk,Sustainable,154,1000,0.15
21,W,Aeroplane,Non-Sustainable,9,1000,0.01
22,W,Van,Non-Sustainable,33,1000,0.03
23,W,Mum's Shoulders,Sustainable,13,1000,0.01
24,W,Jumped,Sustainable,3,1000,0.0
25,Th,Car,Non-Sustainable,302,1000,0.3
26,Th,Walk,Sustainable,510,1000,0.51
27,Th,Scooter,Sustainable,84,1000,0.08
28,Th,Aeroplane,Non-Sustainable,9,1000,0.01
29,Th,Bicycle,Sustainable,62,1000,0.06
30,Th,Helicopter,Non-Sustainable,24,1000,0.02
31,Th,Dad's Shoulders,Sustainable,9,1000,0.01
32,F,Bicycle,Sustainable,173,1000,0.17
33,F,Walk,Sustainable,326,1000,0.33
34,F,Car,Non-Sustainable,254,1000,0.25
35,F,Scooter,Sustainable,168,1000,0.17
36,F,Aeroplane,Non-Sustainable,9,1000,0.01
37,F,Van,Non-Sustainable,46,1000,0.05
38,F,Mum's Shoulders,Sustainable,24,1000,0.02
